id,morph,angle_1,dam_1,angle_2,dam_2,angle_3,dam_3,angle_4,dam_4,angle_5,dam_5,angle_6,dam_6,angle_7,dam_7,cap_area,facing
gf_780,yellow,24,3,29,0,20,3,13,1,25,3,24,1,57,3,480.663676,up
gf_665,white,36,2,42,3,42,2,39,4,40,3,39,4,37,1,172.7875959,down
gf_277,yellow,45,4,45,1,52,3,47,2,50,0,48,1,50,0,441.8650067,down
gf_147,white,38,1,46,0,49,2,52,3,49,2,37,4,9,0,305.6141333,up
gf_758,yellow,27,1,34,3,30,0,27,4,30,2,27,0,28,0,404.6371338,down
gf_92,yellow,45,4,48,4,52,3,46,0,46,4,49,3,50,2,523.1694246,up
gf_237,white,49,1,53,0,56,3,50,1,53,4,53,1,50,1,474.0034996,down
gf_895,white,50,3,51,2,54,1,52,0,50,2,54,1,52,3,480.2866849,down
gf_687,white,28,2,30,0,27,3,15,2,13,0,19,4,23,0,420.2194333,up
gf_808,white,46,2,44,3,46,4,12,2,45,5,40,1,33,4,366.2782875,down
gf_552,white,39,4,42,2,42,4,41,1,45,4,41,3,42,1,402.9092578,up
gf_472,yellow,3,3,6,1,4,2,6,2,9,1,6,2,9,4,508.906594,up
gf_4,yellow,1,0,8,0,5,1,7,0,6,2,2,1,6,4,318.8088225,down
gf_703,yellow,40,2,3,1,45,4,40,3,22,1,59,5,78,3,387.2955423,down
gf_476,white,29,1,48,3,47,3,51,5,51,2,45,2,44,2,516.2265048,down
gf_12,white,41,3,44,2,47,2,44,0,41,2,32,3,35,4,662.2477314,down
gf_206,white,49,2,37,4,2,0,50,2,36,2,55,1,50,4,424.1150082,down
gf_174,white,58,2,61,1,64,1,64,0,61,3,64,2,59,0,468.5685443,up
gf_817,white,52,3,56,3,57,2,53,4,55,1,52,4,54,3,482.0773927,down
gf_459,yellow,48,2,40,4,11,0,50,2,45,0,50,1,38,5,735.7924154,up
gf_793,yellow,47,2,48,0,49,3,50,1,54,2,51,0,51,2,405.8937708,up
gf_8,white,40,1,11,1,55,4,53,2,38,0,39,4,53,0,414.5959825,down
gf_215,white,42,3,49,3,47,4,46,3,43,3,46,3,47,1,528.2588047,down
gf_874,yellow,67,4,72,1,74,1,67,3,67,2,72,2,19,1,577.0477386,down
gf_171,white,45,4,45,4,47,2,46,3,51,1,48,4,47,0,605.1964088,down
gf_348,yellow,56,3,61,1,59,2,61,4,63,1,62,1,61,0,477.4278356,up
gf_655,white,41,4,42,2,43,0,44,3,41,1,42,4,35,0,283.6229848,up
gf_492,yellow,40,1,46,1,24,0,31,2,42,2,46,2,46,4,506.9588065,up
gf_680,white,36,3,44,4,47,2,52,0,12,0,34,4,49,1,617.7941953,up
gf_744,white,49,0,55,0,54,1,56,2,50,1,51,4,50,3,510.8543814,down
gf_266,yellow,40,4,37,0,42,3,45,3,31,0,46,2,47,0,648.4247237,up
gf_713,yellow,86,1,22,2,2,0,86,2,91,3,92,0,86,1,419.8738582,down
gf_575,yellow,61,2,57,3,50,4,7,4,20,1,34,1,37,4,512.7079211,down
gf_183,yellow,39,3,18,0,46,4,31,0,22,2,37,3,39,4,453.8973066,up
gf_328,yellow,77,0,32,0,41,0,33,2,79,2,39,3,81,3,496.3716393,down
gf_305,yellow,42,4,47,2,49,3,45,3,24,3,39,2,33,0,540.3539364,up
gf_445,yellow,42,3,45,2,43,4,22,0,39,3,44,1,40,1,663.5043684,up
gf_612,yellow,18,1,20,1,20,1,24,2,20,3,20,1,19,4,294.0530724,down
gf_260,white,40,0,41,3,40,0,47,2,46,0,40,2,31,2,494.5809315,up
gf_571,yellow,17,1,43,4,48,3,47,2,45,3,48,3,36,2,594.5149938,down
gf_888,yellow,14,0,21,0,17,0,19,3,15,1,17,1,19,1,358.801297,up
gf_809,yellow,37,3,43,3,44,4,44,1,44,0,38,3,43,2,486.3185428,up
gf_642,yellow,89,1,85,0,90,2,82,0,76,0,90,1,88,4,603.9397717,up
gf_110,yellow,40,2,37,4,21,0,33,4,29,2,30,4,87,1,517.8915489,down
gf_633,yellow,65,1,71,0,71,2,72,0,67,0,70,2,68,2,267.6636941,up
gf_786,white,75,1,75,1,82,0,78,0,82,3,78,3,80,0,561.3711913,up
gf_209,yellow,3,1,5,1,5,3,5,2,8,0,10,2,5,2,477.4278356,down
gf_742,white,1,0,6,0,6,1,1,1,2,2,6,0,8,3,655.9645461,up
gf_531,white,8,4,12,4,13,1,12,0,13,5,10,3,10,2,592.8499497,up
gf_166,yellow,5,1,9,0,10,3,9,1,12,1,8,3,6,1,529.8924329,down
gf_483,white,41,2,44,0,45,3,41,0,45,2,47,2,42,0,438.0636796,down
gf_152,yellow,39,0,45,2,40,0,44,3,43,1,46,4,45,3,621.1871154,down
gf_677,yellow,35,1,38,3,38,2,35,4,63,2,38,3,10,1,510.8543814,down
gf_30,yellow,33,4,36,1,33,2,36,4,39,0,35,3,38,1,461.3428812,up
gf_823,yellow,40,3,39,4,43,4,46,2,19,0,44,4,69,0,478.4331452,up
gf_736,yellow,36,4,41,1,43,3,41,1,38,1,37,3,41,4,589.3313659,down
gf_540,white,68,0,70,3,73,1,73,2,69,3,69,1,70,1,486.3185428,up
gf_300,white,50,2,53,2,56,2,50,4,54,1,54,2,53,3,546.6371217,down
gf_153,yellow,81,2,37,0,31,0,40,1,62,1,35,4,4,3,429.4871317,down
gf_769,white,58,1,37,0,19,0,82,2,88,2,77,4,75,2,637.4919813,down
gf_395,white,60,0,67,1,5,2,82,0,33,2,63,3,77,3,526.1539376,down
gf_1,yellow,40,2,46,1,87,1,44,3,45,4,20,1,12,3,334.2654583,up
gf_726,yellow,36,4,36,2,39,2,38,5,42,0,43,3,41,3,535.830043,up