id,morph,treat,t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7
gf_1224,white,exp,49,79,79,51,45,54,56,47
gf_1408,white,exp,42,56,55,58,67,55,52,63
gf_1745,white,exp,87,82,76,78,76,69,70,89
gf_1574,white,control,45,45,45,42,49,45,54,40
gf_1475,white,exp,86,34,36,35,40,41,65,76
gf_1976,yellow,control,44,44,19,58,57,44,40,45
gf_1276,yellow,control,42,43,49,47,53,64,33,47
gf_1124,yellow,control,49,51,26,17,59,30,33,31
gf_1532,white,control,56,59,50,53,54,55,47,35
gf_1206,yellow,exp,58,7,76,36,4,7,38,34
gf_1481,white,exp,62,44,47,56,46,47,58,59
gf_1244,yellow,exp,36,42,47,37,34,38,47,40
gf_1751,yellow,exp,43,82,47,42,41,49,52,46
gf_1844,yellow,exp,45,66,9,43,40,35,36,27
gf_1166,yellow,exp,58,25,24,24,21,13,30,34
gf_1306,white,control,39,40,40,58,34,32,44,47
gf_1070,white,exp,41,16,47,40,75,42,47,36
gf_1539,white,exp,47,60,10,44,1,44,41,45
gf_1776,yellow,exp,43,87,7,6,15,16,22,22
gf_1103,yellow,control,45,45,57,44,36,54,41,40
gf_1682,yellow,exp,31,16,12,37,31,38,39,38
gf_1078,yellow,exp,42,5,1,70,46,48,43,34
gf_1094,yellow,control,60,58,84,85,48,67,44,55
gf_1065,white,exp,59,78,47,2,11,80,43,74
gf_1921,yellow,exp,66,59,50,50,45,57,55,55
gf_1085,yellow,exp,45,11,19,14,37,30,43,42
gf_1705,white,exp,40,19,42,44,40,43,53,35
gf_1721,yellow,exp,59,15,12,12,1,66,49,40
gf_1741,white,control,49,48,44,41,33,13,43,40
gf_1294,yellow,exp,50,4,2,9,5,24,14,32
gf_1697,yellow,exp,45,56,44,42,41,52,52,42
gf_1892,white,exp,36,67,88,89,64,32,30,31
gf_1711,white,exp,46,80,89,74,55,42,48,42
gf_1967,white,exp,25,11,11,11,13,22,29,12
gf_1214,white,control,44,45,36,49,43,46,47,41
gf_1948,yellow,exp,47,83,82,15,17,45,44,44
gf_1259,yellow,exp,33,59,53,36,31,46,40,44
gf_1404,yellow,exp,24,87,78,74,61,77,40,53
gf_1866,white,exp,41,57,49,55,44,43,42,47
gf_1633,white,exp,32,79,61,67,11,36,31,33
gf_1285,yellow,exp,55,7,9,22,59,56,57,57
gf_1651,white,exp,45,26,45,40,35,9,44,44
gf_1541,white,control,58,47,48,45,32,48,48,42
gf_1633,yellow,exp,41,70,45,45,45,41,50,50
gf_1389,white,exp,43,19,45,65,10,44,49,31
gf_1058,white,exp,44,55,53,55,54,58,78,58
gf_1374,yellow,exp,15,89,3,3,20,4,47,1
gf_1698,white,exp,34,14,61,69,58,45,48,25
gf_1368,yellow,exp,4,37,39,30,56,12,43,47
gf_1490,white,exp,51,83,74,88,74,14,38,44
gf_1275,yellow,exp,51,70,51,52,59,79,72,41
gf_1706,white,control,79,80,26,76,40,78,75,75
gf_1854,white,exp,55,73,59,50,56,51,55,59
gf_1977,white,exp,45,81,57,50,65,46,41,47
gf_1048,white,exp,46,57,46,12,19,38,43,46
gf_1470,white,exp,46,36,34,44,47,38,44,43
gf_1313,yellow,exp,90,14,11,13,39,36,42,83
gf_1390,yellow,exp,36,62,60,56,53,54,48,83
gf_1821,white,control,39,39,41,49,42,53,43,45
gf_1451,white,exp,56,41,4,19,37,80,30,32
gf_1922,white,exp,85,33,37,38,70,77,71,70
gf_1256,yellow,exp,40,56,48,47,48,41,44,42
gf_1389,white,exp,45,26,40,36,52,58,47,40
gf_1772,yellow,exp,48,90,56,72,49,47,47,46
gf_1923,white,exp,11,57,36,48,29,22,28,2
gf_1648,white,control,41,40,43,41,49,45,59,48
gf_1205,yellow,exp,35,79,40,48,59,64,53,53
gf_1367,yellow,exp,34,59,62,42,45,31,39,41
gf_1933,white,control,90,88,81,90,81,74,89,86
gf_1762,white,control,25,25,29,39,24,29,47,32
gf_1330,white,control,51,49,53,55,61,41,44,48
gf_1293,white,control,44,45,45,50,53,56,57,54
gf_1577,yellow,exp,52,17,18,23,23,28,30,33
gf_1213,white,exp,40,53,56,56,13,57,68,47
gf_1510,yellow,control,9,9,10,13,13,15,20,25
gf_1379,yellow,exp,12,36,40,41,22,44,44,45
gf_1475,yellow,exp,59,67,72,75,79,81,81,81
gf_1903,yellow,control,42,39,39,42,44,48,49,49
gf_1810,yellow,exp,46,49,53,53,58,63,50,40
gf_1011,white,exp,82,68,69,71,73,77,77,78
gf_1839,white,control,39,41,44,47,56,53,55,51
gf_1750,yellow,exp,63,13,16,18,51,50,48,52